,train_loss,train_recon_loss,train_kld_loss,valid_loss,valid_recon_loss,valid_kld_loss
0,155925.383588742,23945.90715144231,131979.4728623624,9957.095811631945,9673.880533854166,283.21509806315106
1,9202.532702323719,9028.472017728365,174.0607176560622,8256.8935546875,8150.153754340277,106.73974948459201
2,8490.0133588742,8394.776580028045,95.23672456007738,7850.582085503473,7786.132378472223,64.44978205362956
3,7600.503580729167,7509.01623848157,91.48734997480344,6165.331814236111,6091.487684461806,73.84417809380426
4,6428.99762119391,6350.789037459936,78.20861425155249,5865.428548177083,5797.318630642361,68.10989634195964
5,6155.860727163462,6092.675330528846,63.185389787722855,5595.179524739583,5534.921332465277,60.258124881320526
6,6024.3341721754805,5970.628993890225,53.70517261211689,5458.217827690973,5405.252387152777,52.9654418097602
7,5885.925205328525,5838.6012620192305,47.323920029860275,5442.404513888889,5401.34912109375,41.05535591973199
8,5763.619966947115,5719.0482021233975,44.571731665195564,5255.017361111111,5213.717068142361,41.30028873019748
9,5700.967360276442,5661.040790264423,39.9265815050174,5250.369737413194,5212.398600260417,37.97113969590929
10,5638.730068108975,5601.524138621795,37.205939904237404,5187.006998697917,5155.261990017361,31.745030297173393
11,5551.4173427483975,5516.237717848558,35.17962118295523,5102.426052517361,5069.673448350694,32.75262917412652
12,5425.836413261218,5391.463341346154,34.37304496765137,4931.27978515625,4898.964463975694,32.315359115600586
13,5302.578813601763,5269.0445713141025,33.53423959780962,4926.753634982639,4892.306803385417,34.446793450249565
14,5219.7986403245195,5186.816844451122,32.981777826944985,4737.065809461806,4700.990776909723,36.075020260281036
15,5107.820587940705,5073.981270032052,33.83934167715219,4613.912326388889,4583.479112413194,30.433223088582356
16,4992.432416866987,4958.674879807692,33.75753881992438,4483.183865017361,4450.588704427083,32.59510612487793
17,4909.736077724359,4875.307454427083,34.428601582845054,4455.966824001736,4426.346354166667,29.62038082546658
18,4867.7852939703525,4834.750250400641,33.035032174526116,4348.292154947917,4318.341742621527,29.950400246514214
19,4815.4197841546475,4781.8888596754805,33.53093773279435,4331.213161892361,4303.048014322917,28.165095223320854
20,4764.307060046073,4731.368721203927,32.93831932850373,4323.148057725694,4296.0537109375,27.094409518771702
21,4707.07555839343,4674.22314453125,32.85239547338241,4277.457709418402,4247.504096137152,29.953666898939346
22,4678.338416466346,4646.136806390225,32.2016299810165,4210.692274305556,4177.492540147569,33.19974687364366
23,4675.1549228766025,4642.605512570112,32.54941871838692,4258.207248263889,4228.655680338542,29.551571316189236
24,4625.896096254007,4593.63955453726,32.256559029603615,4226.404351128473,4200.162217881944,26.242211447821724
25,4624.647373297275,4593.699137369792,30.94824962126903,4125.126193576389,4092.393364800347,32.73278024461534
